grass.pct,shrub.pct,log.regen.density,seedling.pct,field.cluster,Plot,Long,Lat,postdisturbance_ndvi,delta_ndvi,relative_regrowth,pct_recovery,postfire_fitted_rsq,postfire_fitted_slope,cluster,x_y.x,fire,canopy_cover,veg_height,hli,cwd_present,cwd_future,elevation,TE_future,TE_present,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,predisturbance_ndvi,disturbance_ndvi,dndvi,absolute_regrowth,max.postfire.ndvi,time_to_0.8recovery,time_to_0.6recovery,postfire_ppt,postfire_tmin,postfire_tmax,postfire_vpdmin,postfire_vpdmax,postfire_tmean,precip,tmean,vpdmax,re-0gen_prob,x_y.y,herb.pct,green.pct,npv.pct,aspect,slope,seedling.density,densiometer,dom.tree.spp,dom.seedling.spp,young.tree.density,regen.density,year,log.seedling.density
0,10,10.276773762280058,45,2,HRN5,-120.437994739,44.483361403,436.2,-172.5,-0.999314123077579,1.10892065056678,0.804059704459803,22.4505494505495,2,-120.437994739_44.483361403,HR,35,110,149,450,575,1497,N,N,580,436,578,575,699,618,583,646,707,665,299,393,396,443,363,442,424,431,484,479,507,600,636,675,608.7,346,366,-64.6917417738408,675,10,1,646.25371307543,0.683930226895157,11.71096852645,1.79191116812632,10.9301647134362,6.19744937667258,661.0745714177953,6.490910947203072,11.078949177158519,0.576199471950531,-120.437994739_44.483361403,2.5,51.25,32.5,-0.270395429882906,14.01223755,29000,14.0625,LAOC-PIPO,LAOC,50,29050,2022,10.275051108968611
0,15,0,70,2,M24,-117.5654794,46.25563003,630.9,-55.1,1.7652710060922,1.18221574344023,0.879229464051728,29.5549450549451,2,-117.5654794_46.25563003,School,65,111,205,265,380,1519,N,N,656,662,713,686,692,685,679,710,682,695,305,484,451,536,594,607,620,748,758,758,753,762,811,777,686,394.5,390,114.139681958834,811,4,1,975.165864190642,2.21037339972291,10.845363141871,2.71643434811256,9.90550656791395,6.52786827079696,971.7964485795052,6.606913788794129,8.63216361213367,0.6433929204940796,-117.5654794_46.25563003,3,68.75,26.25,0.430615162071696,4.18580389,0,47.6563,PSME,PIPO,0,0,2022,0
0,31.25,8.864322722511439,38.75,2,EA-5-2,-118.502206246,44.492083176,377.4,-126.5,1.08124002762574,1.2085731295892,0.945826519824485,28.6978021978022,2,-118.502206246_44.492083176,Easy,45,110,150,388,513,1861,N,N,527,542,514,503,516,572,505,559,589,212,188,265,312,344,317,344,380,400,434,471,507,585,609,581,503.9,226.5,24,72.5252168046239,609,8,2,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497,824.5810991048801,5.424843051258515,10.108287084970312,0.5956735610961914,-118.502206246_44.492083176,40.625,63.75,25.625,-0.490968763248498,8,7000,54.296875,?,PICO,75,7075,2023,8.85366542803745
0,55,3.2188758248682006,50,2,M27,-117.6024083,46.2467702,668.4,-91.9,2.32204236197074,1.04827041957122,0.772638503132197,16.4230769230769,2,-117.6024083_46.2467702,School,55,111,107,319,441,1465,N,N,755,767,747,837,776,755,755,679,776,756,279,541,641,675,678,654,598,722,715,726,734,766,773,797,760.3,410,477,104.352005690734,797,2,1,997.940814568214,2.51040982241677,11.676513686971,2.61485291875298,10.5523832754278,7.09346175469386,995.5160139570095,6.741042529059454,8.865473937563898,NA,-117.6024083_46.2467702,21.25,67.5,42.5,-0.470234794207639,17.96887779,0,1.5625,?,ABGR,25,25,2022,0
10,77.5,3.912023005428146,0,1,HRS4,-120.541076783,44.477715969,505.5,-59.7,1.78263255634494,1.08634111818825,0.618060803184616,19.0934065934066,2,-120.541076783_44.477715969,HR,15,110,230,481,604,1481,N,N,515,502,577,555,565,587,603,589,578,581,276,318,387,440,582,569,444,543,565,614,593,575,594,594,565.2,297,305,117.938562374715,614,4,2,642.977653128769,0.558571587884094,11.7764872731966,1.74748501817094,11.01861144823,6.16752943054033,559.5237279492683,7.2506372269879655,12.01809924577692,0.5514547228813171,-120.541076783_44.477715969,5,52.5,35,0.381394231221386,15.93197632,50,1.041666667,PIPO,PIPO,0,50,2022,3.912023005428146
11.25,27.5,5.991464547107982,20,2,H2,-117.5405843,46.27721889,465.3,-304,-0.477743746001215,0.880020798128168,0.707435060165084,22.7362637362637,1,-117.5405843_46.27721889,School,55,111,126,278,394,1429,N,N,710,773,771,778,767,724,794,777,825,774,248,315,451,522,449,442,351,498,529,547,549,589,653,677,769.3,281.5,526,-50.9283825483991,677,12,3,749.386384950805,3.45736659071865,11.7993239684283,3.01442378997224,10.4726554687499,7.62834527957346,818.4300307238661,7.493780180714552,9.521747402376914,0.650364100933075,-117.5405843_46.27721889,25,27.5,30,-0.249450259522307,9.550437927,400,0,ABGR,PIPO,0,400,2022,5.991464547107982
11.25,31.25,0,0,1,EG-B9-1,-119.374286218,43.829604722,284.8,-182.5,0.267984693994729,0.847421356730152,0.855991242230621,19.3461538461538,1,-119.374286218_43.829604722,Egley,35,110,204,561,689,1505,Y,N,420,498,465,472,444,472,461,452,506,483,95,117,216,270,249,270,298,352,352,348,376,368,396,390,467.3,106,388,21.2173037588017,396,10,6,427.909050115228,-2.27692636142479,13.4489841130982,0.899681859067756,13.6034158747822,5.58602887583671,441.27010629638596,5.678190169047849,13.909137050896021,0.3650340139865875,-119.374286218_43.829604722,5,23.75,18.75,-0.487546422630097,4,0,0,PIPO,-,0,0,2023,0
11.25,32.5,7.047517221357296,5,1,EG-3-X,-119.294647911,43.855647194,338.7,-201.1,-1.62412887827317,0.787328640237125,0.623433238713187,11.8571428571429,1,-119.294647911_43.855647194,Egley,45,110,179,575,705,1547,Y,N,539,573,559,528,512,505,509,519,574,580,557,212,283,320,413,354,343,362,354,377,369,400,410,425,539.8,384.5,23,-96.4999139429422,425,NA,4,428.229721416503,-2.03778745468622,13.4720648866282,0.992961032941856,13.6255065843886,5.71713871597101,427.9257221449435,5.754306112612286,14.067407748827055,0.3582339882850647,-119.294647911_43.855647194,23.75,41.25,50,-0.419856940637078,2,1150,0,PIPO,PIPO,0,1150,2023,7.047517221357296
11.25,40,7.853604813097837,23.125,2,EA-B3-2,-118.514740603,44.485867621,391,-160.2,0.376587765214966,0.937953555878084,0.726523139811337,12.9120879120879,1,-118.514740603_44.485867621,Easy,45,110,165,385,506,1871,N,N,425,574,577,545,580,575,552,608,597,479,191,311,403,377,347,409,424,400,415,393,431,514,474,517,551.2,251,288,24.3575661436972,517,11,2,792.118177596413,0.237749217068889,12.010753852021,1.98166507547218,11.779410685417,6.12425153454497,847.3900751246562,5.068676384474605,10.057830337058958,0.6506102085113525,-118.514740603_44.485867621,35.625,63.75,25.625,-0.448046042312335,4,2250,37.109375,?,PICO,325,2575,2023,7.718685495198466
12.5,31.25,3.912023005428146,0,1,HRN2,-120.542380917,44.470704422,467,-78.6,0.93098471770934,1.1217008797654,0.823942702107837,26.6373626373626,2,-120.542380917_44.470704422,HR,15,110,119,535,661,1430,Y,N,479,406,511,543,561,546,578,600,631,601,222,284,318,335,481,495,453,548,561,583,612,567,585,602,545.6,253,379,77.7155540229336,612,4,3,488.562194384424,0.940657803057502,13.5563629013949,1.69306944167194,12.8535494603458,7.24851035222618,512.8127209622204,7.479116899243243,12.791346794688904,0.6454230546951294,-120.542380917_44.470704422,2.5,30,43.75,-0.386373772230323,19.98384094,50,0.911458333,PSME,PIPO,0,50,2022,3.912023005428146
